City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Taoudenni,ML,22.6783,-3.9836,95.77,9,69,10.25,broken clouds
150,Andros Town,BS,24.7,-77.7667,84.16,68,13,12.75,few clouds
151,Maun,BW,-19.9833,23.4167,73.36,27,0,5.75,clear sky
152,Itarema,BR,-2.9248,-39.9167,79.18,83,0,16.26,clear sky
153,Les Cayes,HT,18.2,-73.75,79.79,79,100,8.12,overcast clouds
154,Marsh Harbour,BS,26.5412,-77.0636,80.28,67,1,8.9,clear sky
155,Bismil,TR,37.8486,40.6658,69.53,38,0,11.14,clear sky
156,Kirov,RU,58.5966,49.6601,41.86,69,100,3.22,light rain
157,Sitka,US,57.0531,-135.33,48.09,71,75,3.44,light rain
158,Chuy,UY,-33.6971,-53.4616,52.88,66,81,11.45,broken clouds
159,Kiunga,PG,-6.1219,141.2906,73.26,96,92,1.1,overcast clouds
160,Coihaique,CL,-45.5752,-72.0662,49.95,53,75,4.61,broken clouds
161,Obukhiv,UA,50.11,30.6227,48.49,63,100,6.04,overcast clouds
162,Naze,JP,28.3667,129.4833,77.07,64,1,18.63,clear sky
163,Lawrenceburg,US,38.0373,-84.8966,72.86,88,75,4.0,broken clouds
164,Vestnes,NO,62.6264,7.0884,55.85,87,0,6.91,clear sky
165,Kahului,US,20.8947,-156.47,87.06,71,40,25.32,scattered clouds
166,Klaksvik,FO,62.2266,-6.589,49.12,88,100,26.96,overcast clouds
167,Papagaios,BR,-19.4492,-44.7478,83.84,34,89,1.81,overcast clouds
168,Alugan,PH,12.2188,125.4808,79.74,89,100,12.88,moderate rain
169,Udachnyy,RU,66.4167,112.4,26.94,82,100,4.25,overcast clouds
170,Ewa Beach,US,21.3156,-158.0072,84.15,65,40,18.01,scattered clouds
171,Khatanga,RU,71.9667,102.5,19.26,93,99,12.68,overcast clouds
172,Samarinda,ID,-0.5,117.15,73.22,99,100,2.39,heavy intensity rain
173,Coutances,FR,49.05,-1.4333,59.16,92,4,11.05,clear sky
174,Eureka,US,40.8021,-124.1637,69.21,74,19,5.01,few clouds
175,Souillac,MU,-20.5167,57.5167,72.36,83,40,11.5,scattered clouds
176,Port Elizabeth,ZA,-33.918,25.5701,54.1,76,4,6.58,clear sky
177,Lomianki,PL,52.3341,20.886,58.26,81,0,5.01,clear sky
178,Provideniya,RU,64.3833,-173.3,32.11,69,75,6.71,broken clouds
179,Kabompo,ZM,-13.5927,24.2008,65.41,85,97,3.36,overcast clouds
180,Tan An,VN,10.5333,106.4167,78.82,93,100,2.13,overcast clouds
181,Luba,GQ,3.4568,8.5547,76.89,86,57,4.9,broken clouds
182,Pangai,TO,-19.8,-174.35,78.91,69,75,19.57,broken clouds
183,Torbay,CA,47.6666,-52.7314,55.76,90,75,3.44,broken clouds
184,Laguna,US,38.421,-121.4238,93.42,22,1,1.01,clear sky
185,Sur,OM,22.5667,59.5289,82.53,78,99,15.3,overcast clouds
186,Monrovia,LR,6.3005,-10.7969,78.42,87,81,5.23,broken clouds
187,Carutapera,BR,-1.195,-46.02,79.99,77,100,9.22,overcast clouds
188,Aklavik,CA,68.2191,-135.0107,34.63,96,100,16.67,overcast clouds
189,Bayir,TR,37.2687,28.2167,54.12,40,0,3.53,clear sky
190,Pisco,PE,-13.7,-76.2167,66.25,68,0,18.41,clear sky
191,Codrington,AU,-38.2667,141.9667,50.45,84,58,19.55,broken clouds
192,Hirara,JP,24.8,125.2833,82.92,73,6,20.78,clear sky
193,Geraldton,AU,-28.7667,114.6,48.61,87,40,9.22,scattered clouds
194,Kamaishi,JP,39.2667,141.8833,65.82,80,1,8.43,clear sky
195,Cayenne,GF,4.9333,-52.3333,84.24,74,0,5.01,clear sky
196,Oranjemund,NA,-28.55,16.4333,54.64,80,11,21.07,few clouds
197,Iqaluit,CA,63.7506,-68.5145,38.93,75,75,1.99,broken clouds
198,Warri,NG,5.5167,5.75,76.24,91,100,3.31,overcast clouds
199,Havre-Saint-Pierre,CA,50.2334,-63.5986,52.16,66,90,6.91,overcast clouds
200,Vestmannaeyjar,IS,63.4427,-20.2734,46.63,80,78,6.91,broken clouds
201,Nadadores,MX,27.05,-101.6,81.88,41,93,11.07,overcast clouds
202,Morozovsk,RU,48.3539,41.8261,41.97,81,100,9.84,overcast clouds
203,Selma,US,36.5708,-119.6121,91.9,20,1,0.0,haze
204,Kamloops,CA,50.6665,-120.3192,68.99,32,40,7.0,scattered clouds
205,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,73,20,17.27,few clouds
206,Bouna,CI,9.2667,-3.0,73.2,78,84,1.63,broken clouds
207,Palana,RU,59.1167,159.9667,36.99,92,100,32.55,light rain
208,Hofn,IS,64.2539,-15.2082,47.48,77,100,20.15,overcast clouds
209,Clyde River,CA,70.4692,-68.5914,35.58,85,93,1.32,overcast clouds
210,Cherskiy,RU,68.75,161.3,17.76,97,94,2.75,overcast clouds
211,Bud,US,39.447,-86.1758,75.34,73,100,8.46,overcast clouds
212,Sakakah,SA,29.9697,40.2064,81.97,28,0,10.02,clear sky
213,Jalu,LY,29.0331,21.5482,73.08,43,0,6.02,clear sky
214,Krasnyy Chikoy,RU,50.3643,108.7512,31.59,95,96,2.59,overcast clouds
215,Guerrero Negro,MX,27.9769,-114.0611,85.46,42,81,10.78,broken clouds
216,Cidreira,BR,-30.1811,-50.2056,64.06,94,100,14.61,overcast clouds
217,Bakaly,RU,55.1789,53.8028,37.53,75,84,6.69,broken clouds
218,Bambanglipuro,ID,-7.95,110.2833,59.61,81,76,4.47,broken clouds
219,San Juan Del Sur,NI,11.2529,-85.8705,82.62,74,75,4.61,thunderstorm
