City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
35,Albany,US,2021-10-03 00:41:14,42.6001,-73.9662,64.81,86,23,3.58
36,Nianzishan,CN,2021-10-03 00:39:27,47.5167,122.8833,42.76,92,100,13.98
37,Grindavik,IS,2021-10-03 00:41:14,63.8424,-22.4338,42.75,75,75,29.93
38,Norman Wells,CA,2021-10-03 00:41:15,65.282,-126.8329,33.84,93,90,10.36
39,Morgan City,US,2021-10-03 00:41:15,29.6994,-91.2068,75.99,100,20,4.61
40,Thompson,CA,2021-10-03 00:37:53,55.7435,-97.8558,55.56,82,75,2.3
41,Hithadhoo,MV,2021-10-03 00:39:41,-0.6,73.0833,83.3,72,23,13.04
42,San Quintin,MX,2021-10-03 00:41:16,30.4833,-115.95,77.11,46,60,4.03
43,Rio Cuarto,AR,2021-10-03 00:41:17,-33.1307,-64.3499,55.17,30,0,6.91
44,Severo-Kurilsk,RU,2021-10-03 00:39:28,50.6789,156.125,47.3,95,100,23.51
45,Progreso,MX,2021-10-03 00:41:17,21.2833,-89.6667,80.11,76,87,14.74
46,Airai,TL,2021-10-03 00:41:18,-8.9266,125.4092,75.31,48,6,2.84
47,Bubaque,GW,2021-10-03 00:40:39,11.2833,-15.8333,81.52,78,99,9.51
48,Faanui,PF,2021-10-03 00:41:18,-16.4833,-151.75,79.18,73,13,14.34
49,Abu Samrah,SY,2021-10-03 00:41:19,35.3029,37.1841,67.87,78,0,9.48
50,Marinette,US,2021-10-03 00:41:19,45.1,-87.6307,69.89,88,1,4.61
51,Banjarmasin,ID,2021-10-03 00:41:20,-3.3244,114.591,77.14,66,83,1.72
52,Tasiilaq,GL,2021-10-03 00:41:20,65.6145,-37.6368,37.56,63,0,5.53
53,Kavieng,PG,2021-10-03 00:41:20,-2.5744,150.7967,84.67,65,20,4.52
54,Brae,GB,2021-10-03 00:41:21,60.3964,-1.353,51.71,85,100,27.13
55,Mirabad,AF,2021-10-03 00:41:22,30.4362,61.8383,64.27,31,7,21.27
56,Saint-Philippe,RE,2021-10-03 00:41:22,-21.3585,55.7679,69.39,75,45,13.2
57,Labuhan,ID,2021-10-03 00:41:23,-6.8844,112.2051,82.67,63,100,10.42
58,Ponnani,IN,2021-10-03 00:41:23,10.767,75.9252,76.32,93,100,3.47
59,Maxixe,MZ,2021-10-03 00:41:24,-23.8597,35.3472,73.58,91,88,9.19
60,Bernay,FR,2021-10-03 00:41:24,49.1667,0.6667,57.11,95,100,3.89
61,Hvolsvollur,IS,2021-10-03 00:41:25,63.7533,-20.2243,40.8,78,100,16.64
62,Longyearbyen,SJ,2021-10-03 00:41:25,78.2186,15.6401,37.24,87,75,2.3
63,Atambua,ID,2021-10-03 00:41:26,-9.1061,124.8925,85.39,51,6,1.66
64,Avarua,CK,2021-10-03 00:41:27,-21.2078,-159.775,75.25,88,75,10.36
65,Atuona,PF,2021-10-03 00:41:27,-9.8,-139.0333,78.19,74,6,20.69
66,Bredasdorp,ZA,2021-10-03 00:41:27,-34.5322,20.0403,45.28,72,27,5.84
67,Nalut,LY,2021-10-03 00:41:28,30.3333,10.85,72.37,36,0,9.57
68,Victoria,HK,2021-10-03 00:41:28,22.2855,114.1577,87.22,85,45,1.01
69,Kavaratti,IN,2021-10-03 00:41:28,10.5669,72.642,81.7,80,100,14.5
70,Kirakira,SB,2021-10-03 00:41:29,-10.4544,161.9205,82.89,78,34,3.87
71,Port Alfred,ZA,2021-10-03 00:39:54,-33.5906,26.891,53.29,69,83,22.21
72,Upernavik,GL,2021-10-03 00:41:29,72.7868,-56.1549,29.79,71,100,7.14
73,Vaini,TO,2021-10-03 00:41:30,-21.2,-175.2,77.16,83,75,13.8
74,Acajutla,SV,2021-10-03 00:41:30,13.5928,-89.8275,88.14,82,56,4.23
75,Puurmani,EE,2021-10-03 00:41:31,58.5738,26.2878,41.22,89,26,7.63
76,Ilulissat,GL,2021-10-03 00:41:31,69.2167,-51.1,17.04,75,21,7.02
77,Carnarvon,AU,2021-10-03 00:41:32,-24.8667,113.6333,60.87,82,90,13.8
78,Barrow,US,2021-10-03 00:36:34,71.2906,-156.7887,30.22,80,90,13.8
79,Bambous Virieux,MU,2021-10-03 00:41:32,-20.3428,57.7575,72.21,88,40,11.5
80,Cowra,AU,2021-10-03 00:41:33,-33.8333,148.6833,64.27,74,99,8.99
81,Comodoro Rivadavia,AR,2021-10-03 00:41:33,-45.8667,-67.5,42.66,61,0,6.91
