City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
579,Panacan,PH,78.94,light rain,9.2463,118.4082,Mom's Place Resort
581,Samarai,PG,80.91,broken clouds,-10.6167,150.6667,Nuli Sapi
582,Hurghada,EG,80.64,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
586,Filadelfia,US,82.47,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
591,Fare,PF,78.37,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
594,Banamba,ML,83.44,broken clouds,13.55,-7.45,Kassela de Banamba
599,Nioro,GM,80.1,few clouds,13.35,-15.75,
602,Ugoofaaru,MV,81.63,scattered clouds,5.6667,73.0,Ungoofaaru Inn
612,Sawakin,SD,84.15,overcast clouds,19.1059,37.3321,فندق الدويم
613,Nanakuli,US,84.15,overcast clouds,21.3906,-158.1547,Camp Pālehua
619,Mareeba,AU,81.32,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
622,Koumac,NC,79.32,clear sky,-20.5667,164.2833,Le Monitel
624,Jega,NG,84.58,clear sky,12.2175,4.3792,ALH. Nasiru Ibrahim
632,Kantang,TH,77.25,overcast clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
634,Porangatu,BR,86.5,broken clouds,-13.4408,-49.1486,Wembley Park Hotel
637,Cockburn Town,TC,78.76,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
641,Tefe,BR,89.71,few clouds,-3.3542,-64.7114,Aracati Hotel
643,Dahegam,IN,80.37,few clouds,23.1667,72.8167,OYO 3231 Malhaar Resort
645,Nhulunbuy,AU,77.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
656,Oriximina,BR,83.64,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
